x_m,y_m
2.13464044e-02,2.90312218e-02
2.24482727e-02,2.94762490e-02
2.35619933e-02,2.99203911e-02
2.46875662e-02,3.03636481e-02
2.58249914e-02,3.08060199e-02
2.69742690e-02,3.12475066e-02
2.81353989e-02,3.16881081e-02
2.93083811e-02,3.21278245e-02
3.04932156e-02,3.25666558e-02
3.16899024e-02,3.30046019e-02
3.28984416e-02,3.34416629e-02
3.41188330e-02,3.38778387e-02
3.53510768e-02,3.43131294e-02
3.65951729e-02,3.47475350e-02
3.78511213e-02,3.51810554e-02
3.91189220e-02,3.56136907e-02
4.03985751e-02,3.60454409e-02
4.16900804e-02,3.64763059e-02
4.29934381e-02,3.69062857e-02
4.43086481e-02,3.73353805e-02
4.56357104e-02,3.77635901e-02
4.69746250e-02,3.81909145e-02
4.83253919e-02,3.86173539e-02
4.96880112e-02,3.90429080e-02
5.10624828e-02,3.94675771e-02
5.24488066e-02,3.98913610e-02
5.38469828e-02,4.03142597e-02
5.52570114e-02,4.07362734e-02
5.66788922e-02,4.11574019e-02
5.81126253e-02,4.15776452e-02
5.95582108e-02,4.19970034e-02
6.10156486e-02,4.24154765e-02
6.24849387e-02,4.28330644e-02
6.39660811e-02,4.32497672e-02
6.54590758e-02,4.36655849e-02
6.69639229e-02,4.40805174e-02
6.84806222e-02,4.44945648e-02
7.00091739e-02,4.49077270e-02
7.15495779e-02,4.53200041e-02
7.31018342e-02,4.57313961e-02
7.46659428e-02,4.61419029e-02
7.62419038e-02,4.65515246e-02
7.78297170e-02,4.69602611e-02
7.94293826e-02,4.73681125e-02
8.10409005e-02,4.77750788e-02
8.26642707e-02,4.81811599e-02
8.42994932e-02,4.85863559e-02
8.59465681e-02,4.89906668e-02
8.81611048e-02,4.95283710e-02
