station,index,ref_x,python_x,diff_x,ref_r,python_r,diff_r,ref_mach,python_mach,diff_mach,ref_theta_deg,python_theta_deg,diff_theta_deg
0.0,0.0,0.0,0.262519280510724,0.262519280510724,1.0,1.0350732528527713,0.0350732528527713,1.17779,1.6121464994020802,0.4343564994020803,0.0,15.2196,15.2196
0.005025125628140704,1.0,5.786231155778894e-05,0.26079271499550166,0.26073485268394386,0.9999070351758794,1.0346059830968977,0.03469894792101824,1.1778603517587938,1.6086810526821032,0.4308207009233094,0.007150502512562815,15.117116261306533,15.10996575879397
0.010050251256281407,2.0,0.00011688317085427135,0.25906551348266954,0.25894863031181525,0.9998122110552764,1.034141075795934,0.03432886474065755,1.1779320100502513,1.6052158871875917,0.4272838771373404,0.014443225125628142,15.014632522613065,15.000189297487436
0.01507537688442211,3.0,0.00029060025628140703,0.2573376763361508,0.2570470760798694,0.9995333165829146,1.0336785310473338,0.034145214464419205,1.1781330150753768,1.6017509997964128,0.42361798472103596,0.035815737688442206,14.912148783919598,14.876333046231156
0.020100502512562814,4.0,0.0004666478944723618,0.2556086527607707,0.25514200486629834,0.9992507035175879,1.0332204404679841,0.03396973695039618,1.1783368341708544,1.5982865407809885,0.4199497066101341,0.05746885226130653,14.809665045226131,14.752196192964824
0.02512562814070352,5.0,0.0007568926180904523,0.25387896960625306,0.2531220769881626,0.9987858793969849,1.0327648528368654,0.03397897343988043,1.1786785427135678,1.5948222642709768,0.4161437215574091,0.09287146532663317,14.707181306532663,14.61430984120603
0.03015075376884422,6.0,0.0010506710552763818,0.25214866374279205,0.25109799268751565,0.9983155075376884,1.0323116311971676,0.03399612365947924,1.17902432160804,1.5913581537838715,0.4123338321758314,0.1286861306532663,14.604697567839196,14.47601143718593
0.035175879396984924,7.0,0.001458706231155779,0.2504172309073974,0.24895852467624166,0.9976657587939698,1.0318627327235388,0.034196973929569,1.1795017085427135,1.5878942562113152,0.40839254766860167,0.17782381909547737,14.502213829145727,14.32439001005025
0.04020100502512563,8.0,0.0018715269346733668,0.24868511638718166,0.24681358945250828,0.9970085929648241,1.0314164780048287,0.03440788504000458,1.1799845226130652,1.5844304251500068,0.40444590253694157,0.2274950351758794,14.39973009045226,14.172235055276381
0.04522613065326633,9.0,0.0023992003015075375,0.2469523921013561,0.24455319179984858,0.9961734170854272,1.0309725926459463,0.03479917556051915,1.1805975879396984,1.5809666435812515,0.4003690556415531,0.28997091457286434,14.297246351758794,14.00727543718593
0.05025125628140704,10.0,0.0029329771859296482,0.24521859887408953,0.2422856216881599,0.9953289949748744,1.0305328989477955,0.03520390397292117,1.1812181909547739,1.5775028646248608,0.3962846736700869,0.3530888793969849,14.194762613065325,13.84167373366834
0.05527638190954774,11.0,0.0035827209045226137,0.24348410333480575,0.23990138243028314,0.9943088944723618,1.030095990112897,0.03578709564053517,1.1819820100502512,1.5740390177941679,0.3920570077439167,0.42840646733668347,14.09227887437186,13.663872407035177
0.06030150753768844,12.0,0.004239969447236181,0.24174901099145021,0.23750904154421404,0.9932777889447236,1.0296614539354827,0.03638366499075907,1.1827545728643216,1.5705750991120024,0.3878205262476808,0.5044589195979899,13.989795135678394,13.485336216080404
0.06532663316582915,13.0,0.005014793567839197,0.240012906307074,0.2349981127392348,0.9920742713567839,1.0292309774227715,0.03715670606598753,1.1836641206030152,1.567110978060635,0.38344685745761975,0.5920242462311558,13.887311396984925,13.295287150753769
0.07035175879396985,14.0,0.005798623065326632,0.23827608016453283,0.2324774570992062,0.9908579145728643,1.0288034271715505,0.03794551259868617,1.1845842211055275,1.563646635124381,0.37906241401885343,0.6803987236180903,13.784827658291459,13.104428934673368
0.07537688442211056,15.0,0.006702095427135679,0.2365386701972758,0.22983657477014013,0.9894709798994975,1.028378252804621,0.038907272905123524,1.1856445226130654,1.5601820937790776,0.37453757116601216,0.7795233467336684,13.68234391959799,12.902820572864321
0.08040201005025126,16.0,0.007616190502512563,0.23480030305579128,0.22718411255327872,0.9880694924623116,1.0279570056271639,0.039887513164852284,1.186717286432161,1.5567171505898265,0.3699998641576656,0.8795104422110552,13.579860180904522,12.700349738693467
0.08542713567839195,17.0,0.008652446783919597,0.23306119679351955,0.22440875000959995,0.9865006482412061,1.0275388263875809,0.04103817814637478,1.187933366834171,1.5532518105157402,0.3653184436815693,0.9894159698492461,13.477376442211055,12.48796047236181
0.09045226130653267,18.0,0.009701072864321609,0.23132151970331896,0.22162044683899734,0.984915432160804,1.027123026188152,0.04220759402734808,1.1891643718592966,1.5497861398209116,0.36062176796161505,1.1002141708542714,13.374892703517588,12.274678532663316
0.09547738693467336,19.0,0.010874771356783918,0.2295809391685831,0.2187061678117992,0.9831646783919599,1.0267110202352734,0.04354634184331352,1.1905462814070351,1.5463198735281738,0.3557735921211387,1.2200382914572863,13.27240896482412,12.052370673366834
0.10050251256281408,20.0,0.012062733165829146,0.22783960333635792,0.21577687017052877,0.9813959346733668,1.026302224163022,0.04490628948965514,1.1919447738693467,1.5428530128498266,0.35090823898047985,1.3407593969849245,13.169925226130653,11.829165829145728
0.10552763819095477,21.0,0.013379064824120603,0.2260977096900343,0.2127186448659137,0.9794652814070353,1.0258958102157478,0.04643052880871257,1.1934925125628142,1.5393856831984347,0.34589317063562053,1.4695533668341707,13.067441487437186,11.597888120603015
0.11055276381909548,22.0,0.01471170854271357,0.22435496488837522,0.20964325634566167,0.9775149497487438,1.025493057115947,0.047978107367203315,1.1950590452261307,1.5359175701613224,0.34085852493519164,1.5992223618090453,12.964957748743718,11.365735386934672
0.11557788944723618,23.0,0.016176331658291458,0.22261145010075567,0.2064351184424642,0.9754054020100502,1.025093656094101,0.049688254084050865,1.196777638190955,1.5324486410594518,0.3356710028684968,1.7359711055276381,12.862474010050251,11.126502904522614
0.12060301507537688,24.0,0.017659485427135677,0.22086739052952367,0.203207905102388,0.9732745075376884,1.0246966402109245,0.05142213267323614,1.1985173366834172,1.528979097953144,0.3304617612697267,1.873545376884422,12.759990271356784,10.886444894472362
0.12562814070351758,25.0,0.01927853065326633,0.219122530648354,0.19984399999508767,0.9709870703517588,1.0243031513315473,0.05331608097978846,1.200411809045226,1.5255085899204497,0.32509678087522365,2.0171735175879393,12.657506532663318,10.640333015075377
0.1306532663316583,26.0,0.020918513065326636,0.21737688758321128,0.19645837451788464,0.968676703517588,1.0239131569702156,0.05523645345262762,1.2023291457286431,1.5220370180999132,0.3197078723712701,2.161546381909548,12.555022793969849,10.393476412060302
0.135678391959799,27.0,0.022698613567839195,0.21563071278120913,0.19293209921336993,0.9662128844221105,1.0235255506900245,0.05731266626791398,1.2043994974874372,1.5185646799669608,0.3141651824795235,2.3109031658291457,12.452539055276384,10.141635889447238
0.1407035175879397,28.0,0.024502225628140698,0.21388378706763767,0.18938156143949697,0.9637245125628141,1.0231413371369427,0.05941682457412856,1.2064958793969849,1.5150912019356546,0.3085953225386697,2.460896633165829,12.350055316582916,9.889158683417087
0.1457286432160804,29.0,0.026450265829145725,0.21213606646468336,0.18568580063553763,0.9610853165829145,1.022760760772932,0.06167544419001758,1.2087521608040201,1.5116163842704844,0.30286422346646424,2.614801155778894,12.247571577889449,9.632770422110555
0.15075376884422112,30.0,0.028424589949748752,0.21038782718750063,0.18196323723775187,0.9584202663316582,1.0223825753612241,0.0639623090295659,1.2110355778894473,1.5081406400436421,0.29710506215419485,2.7692061809045234,12.14508783919598,9.375881658291457
0.15577889447236182,31.0,0.030547856281407038,0.20863888494694252,0.17809102866553547,0.9556087085427135,1.0220076479785214,0.06639893943580788,1.2134727638190954,1.5046635878830406,0.29119082406394514,2.9264473869346737,12.042604100502512,9.116156713567838
0.16080402010050251,32.0,0.03270036482412061,0.20688913760625494,0.17418877278213432,0.9527696532663316,1.0216365006750072,0.06886684740867566,1.2159388944723617,1.5011848897975633,0.28524599532520156,3.084023869346734,11.940120361809045,8.856096492462312
0.1658291457286432,33.0,0.035006394974874365,0.20513888466945854,0.17013248969458417,0.9497862361809045,1.021267747123564,0.07148151094265953,1.2185569849246232,1.497705096218444,0.2791481112938208,3.2433605527638187,11.837636623115579,8.59427607035176
0.1708542713567839,34.0,0.03734480201005024,0.20338797526424351,0.16604317325419327,0.9467740301507538,1.02090211649323,0.07412808634247614,1.2212058291457286,1.4942238340276364,0.27301800488190775,3.4028407537688437,11.73515288442211,8.332312130653266
0.17587939698492464,35.0,0.03984128442211056,0.20163625204479238,0.1617949676226818,0.9436212663316582,1.0205404090394348,0.07691914270777656,1.224004824120603,1.4907405865762577,0.2667357624556548,3.563021658291458,11.632669145728643,8.069647487437186
0.18090452261306533,36.0,0.04237345929648242,0.19988403632245075,0.15751057702596832,0.9404382914572864,1.0201810980660009,0.07974280660871447,1.2268354773869345,1.487256065187169,0.26042058780023436,3.723132010050252,11.530185407035175,7.807053396984923
0.18592964824120603,37.0,0.04506823316582915,0.19813120917043003,0.1530629760046009,0.9371176884422111,1.0198247745076334,0.08270708606542232,1.229810351758794,1.4837699223478442,0.2539595705890503,3.8829209547738692,11.427701668341708,7.544780713567839
