theta_B_deg,kdf,residual_norm,radius_residual,length_residual,mass_residual,performance_residual,rao_exit_residual,D_M_pre,D_M_post,D_M_jump,D_theta_pre_deg,D_theta_post_deg,D_theta_jump_deg,fan_turn_deg,exit_angle_deg,exit_mach,success,failure_code,failure_reason
24.5,0.1,0.3447954567722204,-0.28807723683006736,-0.5231283080207433,2.266746126273508e-09,-0.39436023885473886,0.7203048117068656,2.6711080037823227,2.960653818155778,0.2895458143734553,22.233102300147696,28.2331023001477,6.000000000000002,6.0,16.864198527163012,2.8382232453285905,True,0,ok
24.5,0.10333333333333333,0.3314944771511418,-0.27510866312027593,-0.5039652652924616,1.9632686430285304e-09,-0.38242286207185466,0.739405497060501,2.6992231828346642,2.9920975451572636,0.29287436232259934,22.018429184653463,28.018429184653467,6.000000000000002,6.0,16.569299208446655,2.8677262289467516,True,0,ok
24.5,0.10666666666666667,0.3180001649687632,-0.2620433307843836,-0.4844642479604742,9.912113019452261e-09,-0.37091109488731916,0.7612083798465198,2.7273383618870057,3.0235877406784533,0.2962493787914475,21.803756069159224,27.803756069159228,6.000000000000002,6.0,16.281828562527295,2.8973932989807807,True,0,ok
24.5,0.11,0.3050037939666045,-0.24981456550845507,-0.46548321759424427,3.713876615176037e-11,-0.3598628010103362,0.7818264820974188,2.753911001731096,3.0533927178500178,0.2994817161189216,21.620227210739202,27.620227210739202,6.000000000000002,6.0,16.01457512628847,2.9242698454067217,True,0,ok
24.5,0.11333333333333334,0.29280217738204195,-0.2388440747186029,-0.44738445794507514,1.1785744911631606e-09,-0.34920209332467955,0.799057705089055,2.7786383998627517,3.08116491332858,0.3025265134658284,21.4736610136087,27.4736610136087,6.000000000000002,6.0,15.767468031560313,2.9474472529176827,True,0,ok
24.5,0.11666666666666667,0.2805440055416748,-0.22797565124836927,-0.4291176057609192,1.429869992522373e-09,-0.3388690536640577,0.8174731173899484,2.8034137908681807,3.1090265565138226,0.305612765645642,21.325195275442933,27.32519527544293,5.999999999999999,6.0,15.522488581523298,2.970455508489978,True,0,ok
24.5,0.12000000000000001,0.2681199318886935,-0.21733184374357728,-0.4104043899899344,4.284357260666746e-09,-0.3286118463557748,0.8415718977183144,2.827902730709104,3.029554417197523,0.20165168648841902,21.181609675783484,25.181609675783484,3.999999999999999,4.0,15.275273087279228,2.9955491849205584,True,0,ok
24.5,0.12333333333333334,0.25478917414395835,-0.20483100918525468,-0.3908923476598527,1.851959131086324e-10,-0.3189878136569464,0.8748002519258408,2.8526617946161106,3.0563297216932064,0.2036679270770958,21.031635077506238,25.031635077506238,3.999999999999999,4.0,15.064121123456342,3.0217761296353474,True,0,ok
24.5,0.12666666666666668,0.24125290969756905,-0.192201668658845,-0.3710356019001219,7.598173068601137e-10,-0.3096749098841552,0.9119169032142445,2.8775570113341455,3.08327469238683,0.2057176810526844,20.878053867729996,24.878053867729996,3.999999999999999,4.0,14.855331595460525,3.048284347961439,True,0,ok
24.5,0.13,0.22736687579137382,-0.1792855201036697,-0.35063341384207336,3.577787868488405e-09,-0.3006608327528399,0.954162862597035,2.9029003435617997,3.110727677480884,0.20782733391908437,20.714600009564297,24.714600009564293,3.999999999999999,4.0,14.644881987355596,3.0755335648061766,True,0,ok
24.5,0.13333333333333333,0.21285609213838125,-0.16579706961368484,-0.329293910646377,5.563018646611987e-10,-0.29193173035978054,1.0040570617534366,2.9293207360395304,3.1393719915013403,0.21005125546180992,20.52879507475851,24.52879507475851,3.999999999999999,4.0,14.425367480483683,3.1044502832164835,True,0,ok
24.5,0.13666666666666666,0.19768273661640684,-0.15171125749718223,-0.30695127857215165,7.995625669548098e-09,-0.2835045995668618,1.0634011485052666,2.9568064314975255,3.1691978403158036,0.21239140881827812,20.32113256759438,24.321132567594375,3.999999999999999,4.0,14.197291891297112,3.1350466446426752,True,0,ok
24.5,0.14,0.18179365281008442,-0.13698933294937637,-0.28351493658039506,8.852409685927338e-10,-0.2753862275011404,1.1346533584525096,2.985363385694049,3.2002147375904912,0.2148513518964421,20.09148662355083,24.09148662355083,3.999999999999999,4.0,13.96075481329608,3.1673692656895267,True,0,ok
