theta_B_deg,kdf,residual_norm,radius_residual,length_residual,mass_residual,performance_residual,rao_exit_residual,D_M_pre,D_M_post,D_M_jump,D_theta_pre_deg,D_theta_post_deg,D_theta_jump_deg,fan_turn_deg,exit_angle_deg,exit_mach,success,failure_code,failure_reason
24.5,0.1,0.3698599706777042,-0.3379296167922881,-0.5442359486690987,5.583224662192292e-09,-0.3924455739441397,0.44354447991686985,2.6711080037823227,2.6711080037823227,0.0,22.233102300147696,22.233102300147696,0.0,0.0,15.612018131472096,2.728607793079448,True,0,ok
24.5,0.10333333333333333,0.3572690456614068,-0.32607354496513974,-0.5259273298064137,3.8964953244231995e-10,-0.3804001562872186,0.4548613945905709,2.6992231828346642,2.6992231828346642,0.0,22.018429184653463,22.018429184653463,0.0,0.0,15.340483728673782,2.7582012560838156,True,0,ok
24.5,0.10666666666666667,0.34451132708536236,-0.31415836103284234,-0.5073151758655667,1.0039231858746783e-10,-0.3687713366047146,0.4676119379205171,2.7273383618870057,2.7273383618870057,0.0,21.803756069159224,21.803756069159224,0.0,0.0,15.074427284692677,2.7878397558416688,True,0,ok
24.5,0.11,0.3319869193768747,-0.3025678216216406,-0.4889771540994299,2.0112939303367398e-09,-0.35761524908246406,0.4817283545445513,2.753911001731096,2.753911001731096,0.0,21.620227210739202,21.620227210739202,0.0,0.0,14.836514961318938,2.815718003244483,True,0,ok
24.5,0.11333333333333334,0.31980306972164013,-0.2913832720366345,-0.47108152053267516,5.91827964813335e-11,-0.3468810666222588,0.4970312128597056,2.7786383998627517,2.7786383998627517,0.0,21.4736610136087,21.4736610136087,0.0,0.0,14.630049186668376,2.8414623596045296,True,0,ok
24.5,0.11666666666666667,0.30746967409090825,-0.28012562839866756,-0.4529265213817354,4.788758721101652e-10,-0.336476366249924,0.5137795916244408,2.8034137908681807,2.8034137908681807,0.0,21.325195275442933,21.325195275442933,0.0,0.0,14.426254032493341,2.867289911704599,True,0,ok
24.5,0.12000000000000001,0.29509248863915427,-0.2689022521004232,-0.4346611431552959,2.013212775663473e-09,-0.32641025626769027,0.532030881742305,2.827902730709104,2.827902730709104,0.0,21.181609675783484,21.181609675783484,0.0,0.0,14.230046665520643,2.892803477546868,True,0,ok
24.5,0.12333333333333334,0.282497651356484,-0.25754345470268597,-0.41603622198745427,6.982537888877163e-10,-0.31664514680714295,0.5520750726076187,2.8526617946161106,2.8526617946161106,0.0,21.031635077506238,21.031635077506238,0.0,0.0,14.033040066281933,2.9186683193568346,True,0,ok
24.5,0.12666666666666668,0.2697257021162322,-0.24609584669068926,-0.3971053983363561,4.309377367725224e-09,-0.3071840322842749,0.5740968867077995,2.8775570113341455,2.8775570113341455,0.0,20.878053867729996,20.878053867729996,0.0,0.0,13.837254315855828,2.9447279846711543,True,0,ok
24.5,0.13,0.25666324852950173,-0.23445342447651857,-0.37770313897078445,2.2181680579201483e-09,-0.29800928865513476,0.5985040681603961,2.9029003435617997,2.9029003435617997,0.0,20.714600009564297,20.714600009564297,0.0,0.0,13.638175992314878,2.971363407555427,True,0,ok
