theta_B_deg,kdf,residual_norm,radius_residual,length_residual,mass_residual,performance_residual,rao_exit_residual,D_M_pre,D_M_post,D_M_jump,D_theta_pre_deg,D_theta_post_deg,D_theta_jump_deg,fan_turn_deg,exit_angle_deg,exit_mach,success,failure_code,failure_reason
18.0,0.05,0.7761214942940762,-0.590813372678533,-0.904370655256313,3.811886781258267e-10,-0.8000918686571518,0.6599388347345547,1.7825520253076994,2.218852370956153,0.43630034564845355,19.308159285525846,31.308159285525846,11.999999999999998,12.0,25.91587281009672,2.193137447261307,True,0,ok
18.0,0.09,0.6880700231089559,-0.5303075713475924,-0.8386122904555737,9.587460479323918e-10,-0.6601699600646426,0.5671254206263452,1.870218600646558,2.318318750053751,0.4481001494071932,19.204108204774467,31.204108204774467,12.000000000000002,12.0,23.17384154431595,2.28471356291139,True,0,ok
18.0,0.13,0.6068026543929281,-0.4732333651001238,-0.7677711704858576,8.26251511715428e-09,-0.5396350582214793,0.5093263988619243,1.9694037289848998,2.432676684881833,0.46327295589693307,18.808112028486487,30.808112028486494,12.000000000000004,12.0,20.871072877270404,2.3921313076161423,True,0,ok
18.0,0.16999999999999998,0.5294207032449543,-0.4167436192023867,-0.6902365455940235,1.0505327783277411e-09,-0.43675749570404804,0.47711705205145766,2.0775325898976407,2.559346181719174,0.4818135918215334,18.178794555824766,30.178794555824762,11.999999999999998,12.0,18.839657671314153,2.512822686635801,True,0,ok
18.0,0.20999999999999996,0.45211914242186807,-0.35766434066609964,-0.6023407931417903,5.204214961976615e-10,-0.3499956359243061,0.469187103635172,2.197956793405021,2.702680774383444,0.5047239809784232,17.21613307281125,29.216133072811246,11.999999999999998,12.0,16.90710427571947,2.6521700054254547,True,0,ok
18.0,0.24999999999999994,0.3712281409357414,-0.292590591642653,-0.5002731701310027,4.0188660498317217e-10,-0.2784753109291724,0.5058127813247711,2.32818942570476,2.8602021360532897,0.5320127103485297,15.972878387729871,27.97287838772987,12.000000000000002,12.0,15.108299268089974,2.813530743054052,True,0,ok
18.0,0.29,0.29780118503982417,-0.23699658101948878,-0.40133377840329465,8.01392705427712e-10,-0.2209535162222563,0.5619169454155056,2.4366517699832526,2.993293617348285,0.5566418473650323,15.268702733150844,27.268702733150846,12.000000000000002,12.0,13.790771080660623,2.9407136867044072,True,0,ok
18.0,0.32999999999999996,0.217954171517873,-0.17739440612389187,-0.28481885386442835,9.5087170506311e-10,-0.1729783449031477,0.6707342430184962,2.561645822462615,3.067675520683462,0.5060296982208472,14.187481847387101,24.6874818473871,10.5,10.5,12.326575451228726,3.0869306482966143,True,0,ok
18.0,0.36999999999999994,0.12998022814034216,-0.10403897241293393,-0.14688437117493602,8.78580568969355e-11,-0.13522371406691427,0.995898671848632,2.690243899842899,3.2247312444978427,0.5344873446549436,13.01710231589654,23.51710231589654,10.5,10.5,11.07941679317401,3.258390435381702,True,0,ok
18.0,0.4099999999999999,0.06340311073794787,-0.026060666977395532,0.008515372618961691,2.8898420859207067e-10,-0.10633998974797282,1.850655187587879,2.817951178496942,3.3825908850132578,0.5646397065163158,11.866374776003532,22.366374776003532,10.500000000000002,10.5,9.956213661934944,3.434190795719797,True,0,ok
