theta_B_deg,kdf,residual_norm,radius_residual,length_residual,sigma_E_rad,theta_Rao_E_deg,mass_residual,performance_residual,rao_exit_residual,thrust_coefficient,thrust_coefficient_target,D_M_pre,D_M_post,D_M_jump,D_theta_pre_deg,D_theta_post_deg,D_theta_jump_deg,fan_turn_deg,exit_angle_deg,exit_mach,success,failure_code,failure_reason
24.75,0.12,0.2592098383471155,-0.2029920238614849,-0.38196762144656354,0.12026718298391423,7.973829860111648,2.648317695866555e-11,-0.31661651992328615,0.8641772046550028,1.0571458369496969,1.5469291660826012,2.884570715170111,3.037731263673385,0.15316054850327365,21.159266270452342,24.159266270452346,3.000000000000001,3.0,14.864631859017525,3.0279213339733357,True,0,ok
24.75,0.12375,0.24400322829104618,-0.18806979841397098,-0.35841550571642294,0.12157632350061542,7.656606995925595,1.0574457281126227e-09,-0.3059381608219466,0.9097776899100649,1.0736645020894626,1.5469291660826012,2.91425337021871,3.0692360067724827,0.15498263655377276,20.97236816898099,23.972368168980992,3.000000000000001,3.0,14.622417221228025,3.059517628039098,True,0,ok
24.75,0.1275,0.22827999813656785,-0.1725355367947323,-0.3337819913134502,0.12311110212111537,7.316496428475598,1.2387942418716497e-09,-0.2956518710059249,0.9640880210493925,1.089576663816645,1.5469291660826012,2.9451508386949152,3.1020547028712357,0.15690386417632052,20.76012436422193,23.76012436422193,3.000000000000001,3.0,14.370242991219586,3.0929310749024643,True,0,ok
24.75,0.13125,0.21190222194488958,-0.15618496128621515,-0.30774802849094707,0.12492022984089662,6.946493242622476,1.913629434703587e-09,-0.2857672024429856,1.0303618956642762,1.1048675459137156,1.5469291660826012,2.977638687451275,3.1365895642406216,0.15895087678934683,20.51542712653183,23.515427126531833,3.000000000000001,3.0,14.103895188310055,3.128726516753161,True,0,ok
24.75,0.135,0.19506217811870122,-0.13915670163804067,-0.2804408289988932,0.12702800406552334,6.550857211019511,5.229714541509129e-10,-0.276311132032303,1.1110253633191995,1.1194954170285312,1.5469291660826012,3.011291491829833,3.1723917123066454,0.1611002204768126,20.246950649521537,23.246950649521537,3.000000000000001,3.0,13.829025723944662,3.1663516719328855,True,0,ok
24.75,0.13874999999999998,0.17910074876351775,-0.12287025419518824,-0.25382193656017865,0.12926159436510365,6.178296214714136,6.939688609149752e-10,-0.26733571777355325,1.198735630806128,1.1333797471230649,1.5469291660826012,3.0427898285376584,3.205928341753288,0.16313851321562955,20.018807988625586,23.018807988625586,3.000000000000001,3.0,13.5844400249666,3.2011609821064706,True,0,ok
24.75,0.1425,0.16306318990045207,-0.10607923827990781,-0.22616488077444563,0.13177804677474936,5.785826710879269,5.036011208425693e-10,-0.25874828552573065,1.3049692446670718,1.14666389652898,1.5469291660826012,3.075017429081659,3.240267886321908,0.16525045724024912,19.776054538557066,22.77605453855707,3.000000000000001,3.0,13.336152623549957,3.2371739292349844,True,0,ok
24.75,0.14625,0.14753494457572838,-0.08923733327292538,-0.19809286619229566,0.13451986591930515,5.388430868925659,1.4079767471414197e-09,-0.2505775423154935,1.4303645653671722,1.1593034575094672,1.5469291660826012,3.106942678501781,3.2743115518598143,0.1673688733580332,19.538104728331863,22.538104728331863,3.000000000000001,3.0,13.095851446767565,3.272950835555137,True,0,ok
24.75,0.15,0.13287047928883108,-0.0724484137609797,-0.16976115114473148,0.13746298303494142,4.989623076830088,6.7678177708721214e-09,-0.2427915572999979,1.5784857184411294,1.1713478248166194,1.5469291660826012,3.1383374864538256,3.3078150005685405,0.1694775141147149,19.309346079160836,22.309346079160836,3.000000000000001,3.0,12.865671844010668,3.308159657924073,True,0,ok
24.75,0.15375,0.11909158960209158,-0.05517097999605099,-0.1403669738047121,0.14071849833281208,4.570350585956211,4.2125088230216985e-10,-0.23538357487135064,1.7641045040753667,1.1828074488973213,1.5469291660826012,3.1703506678866753,3.3420042289446807,0.17165356105800544,19.06858497780995,22.06858497780995,3.000000000000001,3.0,12.632926639845055,3.3444279190834694,True,0,ok
