x_m,y_m
2.58163469e-03,2.04493976e-02
2.61651356e-03,2.04620158e-02
2.65133076e-03,2.04748032e-02
2.68608547e-03,2.04877595e-02
2.72077687e-03,2.05008843e-02
2.75540415e-03,2.05141774e-02
2.78996647e-03,2.05276384e-02
2.82446304e-03,2.05412671e-02
2.85889304e-03,2.05550631e-02
2.89325566e-03,2.05690261e-02
2.92755008e-03,2.05831558e-02
2.96177550e-03,2.05974517e-02
2.99593111e-03,2.06119137e-02
3.03001611e-03,2.06265413e-02
3.06402969e-03,2.06413343e-02
3.09797105e-03,2.06562921e-02
3.13183940e-03,2.06714146e-02
3.16563393e-03,2.06867014e-02
3.19935384e-03,2.07021520e-02
3.23299835e-03,2.07177661e-02
3.26656666e-03,2.07335434e-02
3.30005797e-03,2.07494835e-02
3.33347151e-03,2.07655860e-02
3.36680647e-03,2.07818505e-02
3.40006208e-03,2.07982767e-02
3.43323755e-03,2.08148641e-02
3.46633210e-03,2.08316124e-02
3.49934495e-03,2.08485212e-02
3.53227533e-03,2.08655900e-02
3.54870934e-03,2.08741843e-02
4.14051329e-03,2.11829767e-02
4.73782152e-03,2.14914316e-02
5.34063402e-03,2.17995490e-02
5.94895081e-03,2.21073290e-02
6.56277187e-03,2.24147716e-02
7.18209720e-03,2.27218767e-02
7.80692681e-03,2.30286444e-02
8.43726070e-03,2.33350746e-02
9.07309887e-03,2.36411674e-02
9.71444131e-03,2.39469227e-02
1.03612880e-02,2.42523406e-02
1.10136390e-02,2.45574210e-02
1.16714943e-02,2.48621640e-02
1.23348539e-02,2.51665695e-02
1.30037177e-02,2.54706376e-02
1.36780858e-02,2.57743683e-02
1.43579582e-02,2.60777615e-02
1.50433348e-02,2.63808172e-02
1.57342158e-02,2.66835355e-02
1.64306010e-02,2.69859164e-02
1.71324905e-02,2.72879598e-02
1.78398842e-02,2.75896657e-02
1.85527823e-02,2.78910343e-02
1.92711846e-02,2.81920653e-02
1.99950912e-02,2.84927589e-02
2.07245020e-02,2.87931151e-02
2.14594172e-02,2.90931339e-02
2.21998366e-02,2.93928151e-02
2.29457603e-02,2.96921590e-02
2.36971883e-02,2.99911654e-02
2.44541206e-02,3.02898343e-02
2.52165571e-02,3.05881658e-02
2.59844979e-02,3.08861598e-02
2.67579430e-02,3.11838164e-02
2.75368924e-02,3.14811356e-02
2.83213460e-02,3.17781173e-02
2.91113039e-02,3.20747616e-02
2.99067661e-02,3.23710684e-02
3.07077326e-02,3.26670377e-02
3.15142033e-02,3.29626697e-02
3.23261783e-02,3.32579641e-02
3.31436576e-02,3.35529212e-02
3.39666412e-02,3.38475407e-02
3.47951291e-02,3.41418229e-02
3.56291212e-02,3.44357675e-02
3.64686176e-02,3.47293748e-02
3.73136183e-02,3.50226446e-02
3.81641233e-02,3.53155769e-02
3.90201325e-02,3.56081718e-02
3.98816460e-02,3.59004293e-02
4.07486638e-02,3.61923493e-02
4.16211859e-02,3.64839318e-02
4.24992122e-02,3.67751769e-02
4.33827428e-02,3.70660846e-02
4.42717777e-02,3.73566548e-02
4.51663169e-02,3.76468876e-02
4.60663604e-02,3.79367829e-02
4.69719081e-02,3.82263408e-02
4.78829601e-02,3.85155612e-02
4.87995164e-02,3.88044442e-02
4.97215770e-02,3.90929897e-02
5.06491418e-02,3.93811978e-02
5.15822109e-02,3.96690684e-02
5.25207843e-02,3.99566016e-02
5.34648620e-02,4.02437974e-02
5.44144439e-02,4.05306557e-02
5.53695301e-02,4.08171765e-02
5.63301206e-02,4.11033599e-02
5.72962154e-02,4.13892059e-02
5.82678145e-02,4.16747144e-02
5.92449178e-02,4.19598855e-02
6.02275254e-02,4.22447191e-02
6.12156373e-02,4.25292153e-02
6.22092534e-02,4.28133740e-02
6.32083739e-02,4.30971953e-02
6.42129986e-02,4.33806791e-02
6.52231276e-02,4.36638255e-02
6.62387608e-02,4.39466344e-02
6.72598984e-02,4.42291059e-02
6.82865402e-02,4.45112399e-02
6.93186863e-02,4.47930365e-02
7.03563367e-02,4.50744957e-02
7.13994913e-02,4.53556174e-02
7.24481503e-02,4.56364016e-02
7.35023135e-02,4.59168485e-02
7.45619809e-02,4.61969578e-02
7.56271527e-02,4.64767297e-02
7.66978287e-02,4.67561642e-02
7.77740090e-02,4.70352612e-02
7.88556936e-02,4.73140208e-02
7.99428825e-02,4.75924429e-02
8.10355756e-02,4.78705276e-02
8.21337731e-02,4.81482748e-02
8.32374748e-02,4.84256846e-02
8.43466807e-02,4.87027570e-02
8.54613910e-02,4.89794918e-02
8.65816055e-02,4.92558893e-02
8.77073243e-02,4.95319493e-02
8.94062230e-02,4.99454066e-02
