x_m,y_m
1.92879251e-03,2.02474795e-02
1.96766728e-03,2.02577317e-02
2.00648757e-03,2.02681883e-02
2.04525228e-03,2.02788491e-02
2.08396037e-03,2.02897137e-02
2.12261074e-03,2.03007818e-02
2.16120233e-03,2.03120532e-02
2.19973408e-03,2.03235275e-02
2.23820491e-03,2.03352044e-02
2.27661377e-03,2.03470836e-02
2.31495958e-03,2.03591647e-02
2.35324128e-03,2.03714475e-02
2.39145782e-03,2.03839315e-02
2.42960814e-03,2.03966165e-02
2.46769117e-03,2.04095021e-02
2.50570587e-03,2.04225879e-02
2.54365119e-03,2.04358735e-02
2.58152606e-03,2.04493586e-02
2.61932945e-03,2.04630429e-02
2.65706031e-03,2.04769259e-02
2.69471758e-03,2.04910073e-02
2.73230024e-03,2.05052866e-02
2.76980723e-03,2.05197635e-02
2.80723752e-03,2.05344376e-02
2.84459008e-03,2.05493084e-02
2.88186386e-03,2.05643756e-02
2.91905784e-03,2.05796387e-02
2.95617098e-03,2.05950974e-02
2.99320227e-03,2.06107511e-02
3.03015066e-03,2.06265995e-02
3.06701515e-03,2.06426421e-02
3.10379471e-03,2.06588784e-02
3.14048831e-03,2.06753081e-02
3.17709496e-03,2.06919307e-02
3.21361362e-03,2.07087456e-02
3.25004329e-03,2.07257525e-02
3.28638296e-03,2.07429508e-02
3.32263163e-03,2.07603402e-02
3.35878828e-03,2.07779200e-02
3.39485193e-03,2.07956899e-02
3.43082157e-03,2.08136493e-02
3.46669620e-03,2.08317978e-02
3.50247483e-03,2.08501348e-02
3.53815647e-03,2.08686598e-02
3.57374014e-03,2.08873723e-02
3.60922484e-03,2.09062718e-02
3.64460960e-03,2.09253577e-02
3.67989343e-03,2.09446296e-02
3.71507536e-03,2.09640869e-02
3.75015441e-03,2.09837291e-02
3.78512961e-03,2.10035556e-02
3.82000000e-03,2.10235659e-02
4.07228362e-03,2.11684614e-02
4.58828549e-03,2.14602910e-02
5.11953354e-03,2.17548389e-02
5.66602776e-03,2.20521049e-02
6.22776817e-03,2.23520891e-02
6.80475475e-03,2.26547915e-02
7.39698752e-03,2.29602121e-02
8.00446646e-03,2.32683509e-02
8.62719158e-03,2.35792079e-02
9.26516288e-03,2.38927830e-02
9.91838036e-03,2.42090764e-02
1.05868440e-02,2.45280880e-02
1.12705538e-02,2.48498177e-02
1.19695099e-02,2.51742657e-02
1.26837121e-02,2.55014318e-02
1.34131604e-02,2.58313162e-02
1.41578550e-02,2.61639187e-02
1.49177957e-02,2.64992394e-02
1.56929826e-02,2.68372784e-02
1.64834157e-02,2.71780355e-02
1.72890950e-02,2.75215108e-02
1.81100204e-02,2.78677043e-02
1.89461920e-02,2.82166160e-02
1.97976098e-02,2.85682459e-02
2.06642738e-02,2.89225940e-02
2.15461840e-02,2.92796603e-02
2.24433403e-02,2.96394447e-02
2.33557428e-02,3.00019474e-02
2.42833915e-02,3.03671683e-02
2.52262864e-02,3.07351073e-02
